N-ID	Concise statement	Priority	Solved in literature?	Rationale
N-001	Prove unconditional linear stability of Kerr (full subextremal range) in a fixed gauge, with full decay rates.	high	Solved (claim in preprint) 3	Consolidates linear theory into a canonical reference and enables downstream nonlinear work.
N-002	Prove nonlinear stability of Kerr for the full subextremal range |a|<M.	high	Open 5	Central dynamical stability conjecture.
N-003	Prove nonlinear stability of Kerr with quantitative scattering (asymptotic completeness near Kerr).	high	Open 3	Upgrades decay to Kerr into a full scattering map with data-to-radiation control.
N-004	Establish a sharp peeling/polyhomogeneity theorem at future null infinity ($\mathcal{I}^+$) for nonlinear near-Kerr evolutions.	medium	Open 1	Needed for precise radiation/charge/memory structure.
N-005	Prove sharp nonlinear Price-law tails for curvature in near-Kerr vacuum.	high	Open 1	Links interior blow-up thresholds and exterior decay in a sharp way.
N-006	Prove Kerr-Newman linear stability for a wider parameter regime beyond weak charge/slow rotation.	high	Open (partial known) 11	Extends Einstein-Maxwell stability program toward the full family.
N-007	Prove nonlinear stability of Kerr-Newman in the asymptotically flat setting (full coupling).	high	Open 11	Major coupled-field analogue of Kerr stability.
N-008	Prove unconditional nonlinear stability of slowly rotating Kerr-de Sitter.	medium	Solved (new proof available) 19	Important Lambda>0 testbed where spectral gaps aid decay.
N-009	Prove conditional nonlinear stability of Kerr-de Sitter in the full subextremal range under explicit mode-stability assumptions.	medium	Open (conditional progress exists) 27	Clarifies what remains once mode stability is established.
N-010	Establish sharp SCC thresholds in Kerr interiors for C0 vs C1 vs C2 formulations.	high	Open (C0 picture advanced) 4	Regularity formulation is now known to be decisive.
N-011	Prove generic Lipschitz (or C1) inextendibility of near-Kerr MGHDs.	high	Open 4	Targets the revised SCC expected after C0-extendibility.
N-012	Prove generic sharp lower bounds on event-horizon flux for spin-2 Teukolsky fields.	high	Open (criteria known) 17	Needed to turn conditional interior blow-up into generic blow-up.
N-013	Build an explicit linearized-gravity scattering map exterior to Cauchy horizon for Kerr.	medium	Open 18	Completes the linear interior data propagation story.
N-014	Prove sharp asymptotics for the Teukolsky field in the Kerr interior (Price law inside).	medium	Open 17	Determines precise blow-up rates and regularity losses.
N-015	Show that small vacuum perturbations of Kerr produce weak null singularities generically at the Cauchy horizon.	high	Open (strong evidence) 4	Converts extendible but singular heuristics into theorem-level genericity.
N-016	Prove robust control of trapping geometry under dynamical near-Kerr perturbations in a sharp topology.	high	Open 23	Trapping is a core obstruction in decay/stability analysis.
N-017	Prove a quantitative distance-to-Kerr estimate from a small invariant (Mars-Simon-type) with computable constants.	medium	Open 7	Turns qualitative rigidity into effective rigidity.
N-018	Prove global Kerr uniqueness without analyticity under minimal smoothness/decay hypotheses.	high	Open (perturbative solved) 21	Finishes classical stationary uniqueness in smooth category.
N-019	Prove uniqueness of stationary black holes with small deviations in asymptotic charges (effective inverse problems).	medium	Open 21	Bridges rigidity and inverse scattering directions.
N-020	Establish a rigorous nonlinear theory for extremal Kerr dynamics incorporating Aretakis charges.	high	Open 9	Extremal behavior is qualitatively different and poorly understood nonlinearly.
N-021	Prove a definitive linear stability/instability dichotomy for extremal Kerr spin-2 with sharp norms.	high	Open 28	Needed before any nonlinear extremal Kerr theorem.
N-022	Prove uniform (in kappa) energy/decay estimates for near-extremal Kerr approaching kappa to 0.	high	Open 9	Key missing uniformity for near-extremal analysis.
